Resolution Bin,Percentile,Avg B-factor,Max B-factor,Std B-factor,Ramachandran Score,Rotamer Score,Residue Fit,Mainchain Fit,Sidechain Fit
20-30,68,27.865,33.55,2.9997,0.70149,1.75642,15.54028,15.41078,10.16798
20-30,69,28.24365,34.06,3.08132,0.74888,1.85051,15.85222,15.72568,10.36583
20-30,70,28.6325,34.57,3.16789,0.79349,1.96235,16.17226,16.04905,10.57476
20-30,71,29.04,35.1,3.25569,0.83596,2.1042,16.49513,16.37697,10.79002
20-30,72,29.47,35.66,3.35147,0.87627,2.28339,16.82996,16.71154,11.01908
20-30,73,29.9085,36.23,3.45162,0.91363,2.50548,17.16782,17.05231,11.25045
20-30,74,30.358,36.83,3.55773,0.94868,2.77581,17.51586,17.40273,11.49799
20-30,75,30.82636,37.45,3.66968,0.98229,3.05373,17.87698,17.76335,11.75521
20-30,76,31.31429,38.12,3.7894,1.01531,3.36363,18.24448,18.13244,12.01609
20-30,77,31.82097,38.8,3.91829,1.04723,3.59082,18.62092,18.51075,12.30128
20-30,78,32.3325,39.51,4.05279,1.07762,3.84818,19.00702,18.90059,12.60086
20-30,79,32.88437,40.25,4.19441,1.1088,4.29358,19.39776,19.29622,12.92108
20-30,80,33.45859,41.03,4.34844,1.14079,4.79348,19.80727,19.70571,13.25286
20-30,81,34.06625,41.85,4.51553,1.17405,5.26026,20.22443,20.12271,13.60411
20-30,82,34.69882,42.69,4.69384,1.20751,5.62843,20.65092,20.55103,13.98026
20-30,83,35.38203,43.59,4.88549,1.24129,5.92914,21.09943,21.0035,14.3892
20-30,84,36.11571,44.55,5.09225,1.27435,6.17249,21.56183,21.46208,14.82263
20-30,85,36.89132,45.56,5.31938,1.30582,6.53325,22.04997,21.95156,15.28555
20-30,86,37.71168,46.65,5.56666,1.33805,6.98935,22.55816,22.46643,15.78316
20-30,87,38.60444,47.83,5.83939,1.3721,7.48752,23.09152,23.00556,16.32918
20-30,88,39.58857,49.09,6.13182,1.40615,7.85061,23.65839,23.57304,16.92958
20-30,89,40.64,50.44,6.46241,1.43998,8.11578,24.25962,24.17473,17.5772
20-30,90,41.80655,51.96,6.83425,1.47431,8.3429,24.91705,24.82881,18.30307
20-30,91,43.12,53.64,7.24525,1.50683,8.92602,25.61397,25.52955,19.13272
20-30,92,44.61493,55.52,7.72069,1.53905,9.69099,26.37809,26.29389,20.09424
20-30,93,46.29118,57.63,8.26411,1.57212,10.0557,27.22693,27.14993,21.17655
20-30,94,48.25805,60.07,8.91244,1.60639,10.3353,28.19495,28.11212,22.45285
20-30,95,50.58867,62.96,9.67177,1.64254,10.94462,29.31188,29.22839,23.97593
20-30,96,53.52363,66.63,10.61765,1.68124,12.66826,30.67381,30.58312,25.88816
20-30,97,57.35125,71.33,11.84653,1.72416,13.97442,32.43525,32.34138,28.44656
20-30,98,63.13667,77.91,13.59277,1.77658,14.95703,34.96616,34.86188,32.22259
20-30,99,73.4606,89.4836,16.76151,1.84459,19.93126,39.64982,39.52696,39.11388
30-40,1,7.58201,8.82,0.18443,0.0049,0.04805,2.37697,2.33694,2.20732
30-40,2,8.935,10.41,0.26412,0.01234,0.08627,2.8594,2.81277,2.60493
30-40,3,9.88419,11.5,0.32847,0.01842,0.11836,3.20632,3.15835,2.89048
30-40,4,10.65,12.35,0.38438,0.02354,0.14765,3.49424,3.44449,3.1236
30-40,5,11.30286,13.08,0.43523,0.02883,0.17454,3.74343,3.69487,3.32716
30-40,6,11.864,13.73,0.48276,0.03456,0.19952,3.97238,3.92255,3.50795
